row_id,result
1,Galassia di Sapori: Il Viaggio Senza Tempo
2,
3,
4,Sinfonia Cosmica di Sapore
5,
6,
7,
8,
9,
10,
11,
12,
13,Sinfonia Astrale - Risotto Multiversale con Risacca Celeste
14,Sinfonia Galattica alla Griglia Cangiante,Sinfonia Cosmica ma Fatta Male,Nebulare Asteroideo con Crepuscolo di Mucca,Essenze dell'Infinito,Sinfonia del Multiverso Nascente,Galassia di Sapori: Sinfonia Transdimensionale,Galassia di Sapori di Aurora,Sinfonia Cosmica: il Ritorno dell'Imperatore,Pioggia di Dimensioni Galattiche,Ethereal Temporal Elixir,Sinfonia Cosmica di Sapori,Il Viaggio dell'Etereo Risveglio,Sinfonia Celestiale di Gnocchi del Crepuscolo,Rintocchi del Cosmo,Aurora del Cosmo,Mycoflora con Polvere di Stelle Sbagliato,Bistecca Cacofonica dell'Infinito,Risveglio Cosmico,Interstellar Requiem,Risveglio Cosmico: Una Sinfonia di Sapori Universali
15,Sinfonia Cosmica di Terracotta
16,Sinfonia Cosmica di Terracotta
17,Sinfonia Cosmica di Sapore,Sinfonia Cosmica in Otto Movimenti,Cosmo Sferico di Sogni Rigenerativi,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice,Pizza Cri
18,Nebulosa di Confini Sfondati,Pizza Baby Daniele,Pizza Raul
19,Nebulosa Celestiale alla Stellaris,Nebulosa Galattica,Nebulosa Celeste di Terrafirma,Nebulose della Fenice su Vento Lunare,Portale Cosmico: Sinfonia di Gnocchi del Crepuscolo con Essenza di Tachioni e Sfumature di Fenice,Galassia Suprema,Nebulosa di Fenice con Sinfonia Eterea
20,Galassia Commovente di Stellari,Sinfonia Cosmica: il Ritorno dell'Imperatore,Antipasto Celestiale,Sinfonia Galattica Agentica,Luce e Ombra di Nomea Spaziale,Sinfonia Cosmica di Proteine Interstellari,Entropia Eterna,Cosmic Serenade,Portale di Sapori Arcani,Il Risveglio delle Stelle,Sinfonia Celestiale di Echi Galattici
21,Sinfonia Galattica di Sapori con Sorpresa di Drago Fiammante,Galassia di Sapore Interstellare
