row_id,result

1,78
2,225
3,185
4,215
5,60
6,179
7,189
8,130,16,215,169,6
9,65,16
10,86,197,252,173,204,27,256,242,274,115,184,34,93
11,194
12,37
13,197
14,233,216,103,203,187
15,217
16,217
17,217,16,215,157
18,132,153,162
19,127,130,126,140,169,62,135
20,54,226,1,231,118,214,39,13,175,99,202
21,234,70
22,127,74,258,116,199,130,86,129
23,173
24,4
25,71
26,19
27,115,269,118,279
28,169,257,62,198,187
29,234,1,214,130,257,156
30,262,180,135,12
31,52
32,206,128,95,259
33,174
34,36
35,195
36,72
37,153
38,174,188,75
39,110,132
40,157,153
41,191
42,179
43,207,47,123,94,164,169,215,62,202
44,169,159
45,50
46,151,32,188,210,286
47,191
48,80
49,271,50,108,176,175,51
50,218,252,181,146,50,108,176,182,175,218,223
51,24,102,173
52,21
53,258
54,132,52,48,137
55,174,268,73,208,188,53,75
56,276,41,61,128,114
57,172
58,54,71,106,239,240,22,196,37,167,137,121,72
59,32
60,191
61,123,78,94,270,137,7,179,48,257,46,39,242,250,6
62,98
63,174,219
64,190
65,53,75,64
66,50,181,270,218,182,165,168,186
67,169
68,68
69,233,236,15,129
70,143
71,34
72,163
73,75
74,135
75,71,106,128,215,37,198
76,8
77,53
78,69
79,271
80,102
81,21
82,117
83,130
84,92
85,75
86,149
87,79
88,172
89,1
90,188
91,44
92,155
93,106,256,242,274,266,174,268,188,75,247,20,193,265,259,59,241
94,61
95,93
96,144
97,164
98,161
99,20
100,54,1,48,166
